seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
12345678901234567890_160715134046	X0015MHHMR	0003047822	UsedRefurbished	SELLABLE	0
11/19/14-151029022048-183	X000VZAPPP	1933993766	UsedVeryGood	SELLABLE	0
151026190056	X000VW6RCN	061557226X	NewItem	SELLABLE	0
1499971180260	X001H463GT	0001501348	UsedGood	SELLABLE	0
151029102338	X000VYYPVB	0345472403	CollectibleLikeNew	SELLABLE	0
151020131202	X000VQZ2ST	1563074338	UsedVeryGood	SELLABLE	0
12345678901234567890_160715133957	X0015OH1F3	0071419888	UsedRefurbished	SELLABLE	0
151028122107	X000VY2LDF	B003FODWVC	UsedVeryGood	SELLABLE	0
151028142037	X000VY7BIP	B0051M6IPI	CollectibleGood	SELLABLE	0
12345678901234567890_160719132831	X0015S85DV	B00026ZG10	UsedRefurbished	SELLABLE	0
12345678901234567890_160714094040	X0015MVWYB	B006GLLR5Y	UsedLikeNew	SELLABLE	0
12345678901234567890_160706112021	X0015DNG0N	0345472403	UsedRefurbished	SELLABLE	0
12345678901234567890_160715134120	X0015IAHCN	0030867355	UsedRefurbished	SELLABLE	0
151021091818	X000VRPW5L	B001QFZM8I	UsedAcceptable	SELLABLE	0
151028094118	X000VXSBJJ	0061980986	NewItem	SELLABLE	0
12345678901234567890_160715134105	X0015MI4B5	0061827711	UsedRefurbished	SELLABLE	0
12345678901234567890_160718103712	X0015LEC0D	B005ZMV2EQ	UsedVeryGood	SELLABLE	0
151020101550	X000VQQNFZ	0756621054	NewItem	SELLABLE	0
151027010507	X000VWCL91	123456789X	NewItem	SELLABLE	0
151028102352	X000VXU9J9	9059052749	UsedVeryGood	SELLABLE	0
12345678901234567890_160718103440	X0015OIWFL	B00026ZG10	UsedVeryGood	SELLABLE	0
11111111111111111111_160304115043	X000Z1ZPTL	0007456379	UsedRefurbished	SELLABLE	0
1499971121408	X001H3YNHB	0001393774	NewItem	SELLABLE	0
0E-MJ0N-OZZK	X000YE9Y19	0195012828	UsedGood	SELLABLE	0
160129143916	X000Y8FLLH	0195012828	NewItem	SELLABLE	0
160202100923	X000YBTIYF	086573108X	NewItem	SELLABLE	0
160202103343	X000YBUNY9	0811824195	NewItem	SELLABLE	0
151230112346	X000XFU1XT	B004LWZW4W	UsedAcceptable	SELLABLE	0
160129094507	X000Y817ZB	0582419743	UsedRefurbished	SELLABLE	0
151222183224	X000XB70F5	0618443363	UsedLikeNew	SELLABLE	0
160202114416	X000YBYVBP	B00G6NQ9IC	CollectibleLikeNew	SELLABLE	0
160202103354	X000YBUO8T	0300117876	NewItem	SELLABLE	0
151222184126	X000XB760J	0618968806	UsedVeryGood	SELLABLE	0
151222183308	X000XB70V9	0618690085	UsedVeryGood	SELLABLE	0
160127120038	X000Y5UYL7	9764100295	UsedVeryGood	SELLABLE	0
160202103141	X000YBUKR9	086573108X	NewItem	SELLABLE	0
160129130105	X000Y8AINX	6303402348	NewItem	SELLABLE	0
151029102420	X000VYYQO7	0393972836	CollectibleLikeNew	SELLABLE	0
160127112456	X000Y5SV3F	B00005OSJP	CollectibleLikeNew	SELLABLE	0
160202112117	X000YBXJ6D	0345472403	UsedLikeNew	SELLABLE	0
160202102819	X000YBUFH9	086573108X	NewItem	SELLABLE	0
160202101508	X000YBTT5X	086573108X	UsedLikeNew	SELLABLE	0
160202103217	X000YBULL9	0891458565	NewItem	SELLABLE	0
151230114139	X000XFWIA3	B004LWZW4W	UsedAcceptable	SELLABLE	0
151223153446	X000XC0KRT	0618574921	UsedLikeNew	SELLABLE	0
160129114659	X000Y875V1	0061953377	NewItem	SELLABLE	0
160130095600	X000Y8X4ZH	123456789X	UsedGood	SELLABLE	0
151214101859	X000X44GOF	B000R32OJ0	NewItem	SELLABLE	0
151222182942	X000XB6WRR	0615780849	NewItem	SELLABLE	0
151029104224	X000VYZJJX	1617160857	UsedVeryGood	SELLABLE	0
151029110859	X000VZ2021	0001017748	NewItem	SELLABLE	0
160202112131	X000YBXKKN	0393972836	UsedLikeNew	SELLABLE	0
160129100337	X000Y8225Z	B00009YFTI	UsedRefurbished	SELLABLE	0
151230112647	X000XFU5RL	B005DTZXKU	UsedAcceptable	SELLABLE	0
160129143626	X000Y8FI8D	0195012828	NewItem	SELLABLE	0
160202100950	X000YBTJLH	0233999647	NewItem	SELLABLE	0
151230104112	X000XFSDVB	0553147943	UsedVeryGood	SELLABLE	0
160202103408	X000YBUOLV	0393045501	NewItem	SELLABLE	0
160129095317	X000Y81LV1	1853267333	CollectibleVeryGood	SELLABLE	0
151222183043	X000XB6XEJ	0615936415	UsedLikeNew	SELLABLE	0
160202100945	X000YBTJF3	0811824195	NewItem	SELLABLE	0
160129114757	X000Y8771T	0061953377	NewItem	SELLABLE	0
160202103334	X000YBUNR1	9076886466	NewItem	SELLABLE	0
160202103228	X000YBULV9	0233999647	NewItem	SELLABLE	0
151230110541	X000XFTE37	0497005786	UsedAcceptable	SELLABLE	0
